tau,meth_cost_ratio,pct_resolved_stage1,avg_cost_per_patient,overall_accuracy_ceiling,overall_accuracy_floor
0.7,1.45,0.8938307030129125,1.153945480631277,0.9856527977044476,0.9641319942611191
0.7,1.8,0.8938307030129125,1.1911047345767576,0.9856527977044476,0.9641319942611191
0.72,1.2,0.8895265423242468,1.1325681492109039,0.9856527977044476,0.9641319942611191
0.72,1.45,0.8895265423242468,1.1601865136298422,0.9856527977044476,0.9641319942611191
0.72,1.8,0.8895265423242468,1.1988522238163557,0.9856527977044476,0.9641319942611191
0.74,1.2,0.8837876614060258,1.139454806312769,0.9856527977044476,0.9641319942611191
0.74,1.45,0.8837876614060258,1.1685078909612625,0.9856527977044476,0.9641319942611191
0.74,1.8,0.8837876614060258,1.2091822094691536,0.9856527977044476,0.9641319942611191
0.76,1.2,0.8766140602582496,1.1480631276901005,0.9856527977044476,0.9641319942611191
0.76,1.45,0.8766140602582496,1.178909612625538,0.9856527977044476,0.9641319942611191
0.76,1.8,0.8766140602582496,1.2220946915351507,0.9856527977044476,0.9641319942611191
0.78,1.2,0.8694404591104734,1.156671449067432,0.9856527977044476,0.9641319942611191
0.78,1.45,0.8694404591104734,1.1893113342898136,0.9856527977044476,0.9641319942611191
0.78,1.8,0.8694404591104734,1.2350071736011479,0.9856527977044476,0.9641319942611191
0.8,1.2,0.8622668579626973,1.1652797704447633,0.9856527977044476,0.9641319942611191
0.8,1.45,0.8622668579626973,1.199713055954089,0.9856527977044476,0.9641319942611191
0.8,1.8,0.8622668579626973,1.2479196556671448,0.9856527977044476,0.9641319942611191
0.82,1.2,0.8536585365853658,1.1756097560975611,0.9856527977044476,0.9641319942611191
0.82,1.45,0.8536585365853658,1.2121951219512197,0.9856527977044476,0.9641319942611191
0.82,1.8,0.8536585365853658,1.2634146341463415,0.9856527977044476,0.9641319942611191
0.84,1.2,0.8436154949784792,1.187661406025825,0.9856527977044476,0.9641319942611191
0.84,1.45,0.8436154949784792,1.2267575322812052,0.9856527977044476,0.9641319942611191
0.84,1.8,0.8436154949784792,1.2814921090387374,0.9856527977044476,0.9641319942611191
0.86,1.2,0.8249641319942611,1.2100430416068866,0.9856527977044476,0.9641319942611191
0.86,1.45,0.8249641319942611,1.2538020086083215,0.9856527977044476,0.9641319942611191
0.86,1.8,0.8249641319942611,1.3150645624103299,0.9856527977044476,0.9641319942611191
0.88,1.2,0.8106169296987088,1.2272596843615495,0.9856527977044476,0.9641319942611191
0.88,1.45,0.8106169296987088,1.2746054519368724,0.9856527977044476,0.9641319942611191
0.88,1.8,0.8106169296987088,1.3408895265423242,0.9856527977044476,0.9641319942611191
0.9,1.2,0.7847919655667145,1.2582496413199427,0.9856527977044476,0.9641319942611191
0.9,1.45,0.7847919655667145,1.312051649928264,0.9856527977044476,0.9641319942611191
0.9,1.8,0.7847919655667145,1.3873744619799138,0.9856527977044476,0.9641319942611191
0.92,1.2,0.7589670014347202,1.2892395982783358,0.9856527977044476,0.9641319942611191
0.92,1.45,0.7589670014347202,1.3494978479196558,0.9856527977044476,0.9641319942611191
0.92,1.8,0.7589670014347202,1.4338593974175038,0.9856527977044476,0.9641319942611191
0.94,1.2,0.7144906743185079,1.3426111908177907,0.9856527977044476,0.9641319942611191
0.94,1.45,0.7144906743185079,1.4139885222381636,0.9856527977044476,0.9641319942611191
0.94,1.8,0.7144906743185079,1.5139167862266858,0.9856527977044476,0.9641319942611191
0.96,1.2,0.6556671449067432,1.4131994261119083,0.9856527977044476,0.9641319942611191
0.96,1.45,0.6556671449067432,1.4992826398852226,0.9856527977044476,0.9641319942611191
0.96,1.8,0.6556671449067432,1.6197991391678621,0.9856527977044476,0.9641319942611191
0.98,1.2,0.5581061692969871,1.5302725968436155,0.9856527977044476,0.9641319942611191
0.98,1.45,0.5581061692969871,1.6407460545193688,0.9856527977044476,0.9641319942611191
0.98,1.8,0.5581061692969871,1.7954088952654232,0.9856527977044476,0.9641319942611191
1.0,1.2,0.0,2.2,0.9856527977044476,0.9641319942611191
1.0,1.45,0.0,2.45,0.9856527977044476,0.9641319942611191
1.0,1.8,0.0,2.8,0.9856527977044476,0.9641319942611191
